x;y
121;-120
122;-120
124;-120
125;-120
127;-120
130;-120
131;-120
131;-120
131;-120
131;-120
131;-120
131;-120
131;-120
131;-120
131;-120
131;-120
131;-120
131;-120
132;-120
132;-120
132;-120
133;-120
133;-116
134;-111
135;-103
135;-98
135;-94
135;-90
135;-83
135;-79
135;-75
135;-72
135;-64
135;-61
135;-57
135;-53
136;-46
136;-42
136;-38
136;-35
136;-27
136;-24
136;-20
137;-16
137;-9
137;-5
138;-1
138;2
139;5
139;13
140;17
140;21
141;24
142;32
142;36
142;40
143;44
143;51
143;55
143;58
143;62
143;69
143;73
143;77
144;84
144;88
144;92
144;95
144;103
144;106
144;110
144;114
144;121
144;124
144;128
144;130
144;130
144;130
144;130
144;130
144;130
144;130
144;130
144;130
144;130
144;130
144;130
144;130
