x;y
144;130
143;130
141;130
139;130
138;130
137;130
133;130
129;130
122;130
118;130
114;130
110;130
106;130
99;128
95;128
91;127
89;126
88;124
87;120
87;117
86;114
86;107
86;104
86;101
86;98
86;93
84;90
83;87
81;77
80;72
78;68
75;64
67;59
62;56
58;54
53;52
49;50
41;44
37;41
34;37
30;34
23;28
19;24
16;21
12;18
5;11
2;8
-1;5
-4;3
-11;0
-15;-1
-18;-3
-25;-9
-29;-12
-32;-15
-36;-19
-42;-25
-44;-27
-47;-30
-49;-32
-54;-37
-55;-40
-56;-44
-58;-47
-60;-55
-61;-59
-62;-62
-64;-65
-66;-70
-67;-73
-68;-75
-69;-78
-73;-83
-74;-85
-76;-88
-78;-91
-83;-98
-85;-102
-87;-107
-92;-117
-94;-121
-97;-124
-99;-125
-104;-128
-106;-129
-107;-130
-107;-130
-107;-130
-107;-130
-107;-130
-107;-130
