x;y
-121;-130
-120;-130
-120;-130
-120;-130
-119;-130
-117;-130
-110;-130
-106;-130
-102;-130
-97;-130
-97;-130
-101;-130
-108;-130
-112;-130
-119;-130
-122;-130
-126;-130
-130;-130
-133;-130
-137;-130
-136;-130
-133;-130
-125;-130
-125;-130
-118;-130
-120;-130
-124;-130
-131;-130
-135;-130
-138;-130
-132;-130
-129;-130
-125;-130
-121;-130
-118;-130
-118;-130
-126;-130
-129;-130
-133;-130
-136;-130
-132;-130
-129;-130
-121;-130
-118;-130
-114;-130
-111;-130
-107;-130
-103;-130
-96;-130
-92;-130
-87;-130
-78;-130
-73;-130
-68;-130
-64;-130
-57;-130
-53;-130
-49;-130
-46;-130
-42;-130
-35;-130
-31;-130
-24;-130
-20;-130
-17;-130
-13;-130
-6;-130
-2;-130
1;-130
4;-130
8;-130
15;-130
19;-130
23;-130
26;-130
34;-130
37;-130
41;-130
44;-130
48;-130
55;-130
59;-130
67;-130
70;-130
73;-130
77;-130
83;-130
86;-130
89;-130
89;-130
89;-130
89;-130
90;-130
90;-130
92;-130
93;-130
94;-130
95;-130
96;-130
99;-130
106;-130
110;-130
114;-130
117;-130
125;-130
128;-130
132;-130
139;-130
142;-130
144;-130
146;-130
150;-130
152;-130
153;-130
153;-130
153;-130
153;-130
