x;y
153;-130
153;-129
153;-125
153;-121
153;-118
149;-114
142;-108
139;-104
136;-101
132;-97
123;-88
118;-83
115;-80
108;-73
104;-70
101;-66
97;-63
93;-61
89;-60
81;-57
77;-56
73;-54
64;-50
60;-48
55;-46
47;-41
42;-39
38;-37
33;-35
29;-33
25;-30
16;-26
11;-23
2;-19
-1;-17
-6;-14
-10;-12
-17;-10
-20;-9
-24;-8
-29;-7
-34;-6
-43;-2
-48;0
-53;1
-54;3
-58;7
-59;9
-61;12
-63;14
-64;16
-65;21
-66;23
-68;28
-70;31
-71;33
-73;36
-75;38
-78;42
-80;44
-81;46
-83;48
-85;53
-87;56
-88;58
-90;63
-91;66
-92;68
-93;70
-95;75
-95;78
-96;81
-96;84
-97;91
-98;94
-99;98
-100;100
-100;101
-101;102
-101;103
-102;104
-102;104
-103;105
-103;105
-104;105
-105;105
-106;106
-107;107
-107;107
-108;107
-108;108
-108;108
-109;109
-109;110
-109;113
-109;114
-109;114
-109;114
-109;114
-108;114
-104;114
-100;114
-93;114
-89;114
-87;114
-87;114
-87;114
-87;114
-87;114
-91;114
-94;114
-98;114
-101;114
-109;114
-112;114
-116;114
-119;114
-127;114
-130;114
