x;y
-128;114
-121;114
-117;114
-113;114
-110;114
-106;114
-102;114
-95;114
-88;114
-84;114
-82;114
-81;114
-80;114
-79;114
-78;114
-76;114
-74;114
-66;114
-63;114
-59;114
-56;114
-48;114
-44;114
-41;114
-37;114
-34;114
-26;114
-23;114
-19;114
-12;114
-8;114
-4;114
-1;114
2;114
9;114
13;114
17;114
24;114
28;114
31;114
35;114
42;114
46;114
50;114
53;114
57;114
66;114
71;114
75;114
85;114
88;114
89;114
91;114
93;114
94;114
95;114
95;114
96;114
96;114
96;114
97;114
98;114
99;114
99;114
100;114
102;114
102;114
103;114
104;114
105;114
106;114
106;114
106;114
107;114
107;114
107;114
107;114
107;114
107;114
107;114
107;114
107;114
107;114
107;114
107;114
