x;y
120;118
120;118
117;118
116;118
114;118
111;118
108;118
105;118
101;118
97;118
89;118
86;118
85;118
83;118
83;118
82;118
81;118
80;118
80;117
80;117
79;116
79;115
79;113
78;113
78;112
78;110
77;109
76;108
76;107
74;103
74;101
71;99
67;98
60;96
56;95
52;95
48;94
41;92
37;91
32;89
28;88
24;85
23;83
22;78
21;73
21;68
19;58
18;54
17;53
16;50
15;48
14;47
12;45
9;40
8;38
6;35
5;33
0;28
-3;26
-6;24
-9;22
-15;19
-19;16
-22;14
-25;11
-32;6
-34;4
-36;0
-39;-2
-43;-8
-45;-12
-46;-15
-46;-18
-47;-22
-47;-29
-48;-32
-48;-36
-48;-39
-49;-44
-50;-46
-50;-49
-51;-52
-56;-57
-59;-59
-61;-62
-66;-67
-70;-69
-73;-71
-76;-73
-83;-77
-86;-79
-88;-81
-92;-85
-95;-87
-97;-89
-100;-93
-101;-95
-103;-96
-104;-97
-105;-98
-107;-100
-109;-103
-110;-104
-111;-106
-112;-108
-114;-110
-116;-113
-117;-114
-119;-116
-120;-117
-122;-120
-123;-121
-123;-122
-124;-123
-125;-123
-125;-124
-125;-124
