x;y
-125;-125
-118;-125
-114;-125
-111;-125
-107;-125
-100;-125
-96;-125
-93;-125
-89;-125
-82;-125
-78;-125
-74;-125
-71;-125
-63;-125
-60;-125
-56;-125
-52;-125
-49;-125
-41;-125
-38;-125
-34;-125
-27;-125
-23;-125
-20;-125
-16;-125
-9;-125
-5;-125
-1;-125
5;-125
5;-125
12;-125
16;-125
23;-125
27;-125
30;-125
38;-125
38;-125
45;-125
49;-125
52;-125
60;-125
63;-125
67;-125
70;-125
79;-125
83;-125
88;-125
93;-125
102;-125
105;-125
107;-125
109;-125
112;-125
116;-125
117;-125
117;-125
117;-125
117;-125
117;-125
118;-125
118;-125
118;-125
118;-125
119;-125
119;-125
119;-125
120;-125
120;-125
121;-125
121;-125
121;-125
121;-125
121;-125
