x;y
116;-123
116;-123
109;-122
105;-121
102;-120
99;-118
92;-114
88;-113
84;-111
81;-108
74;-102
70;-99
67;-95
64;-92
57;-85
53;-82
50;-79
44;-73
41;-69
38;-66
38;-62
37;-55
37;-51
37;-48
36;-40
36;-40
35;-33
34;-30
34;-26
29;-19
25;-16
22;-13
18;-10
10;-5
6;-2
1;0
-2;1
-11;5
-15;7
-18;9
-22;11
-25;12
-32;16
-36;19
-38;23
-39;33
-40;38
-41;42
-41;45
-47;49
-50;51
-53;52
-56;54
-60;56
-65;60
-67;62
-69;64
-73;67
-75;68
-77;68
-80;68
-85;69
-88;69
-90;73
-90;76
-90;79
-90;86
-90;89
-90;89
-92;89
-96;90
-98;90
-102;90
-104;91
-106;91
-108;91
-109;92
-111;92
-115;93
-116;93
-118;93
-119;93
-122;95
-123;97
-123;99
-124;104
-124;104
-124;109
-124;112
-124;116
-124;123
-124;127
