x;y
-132;130
-129;130
-122;130
-118;130
-115;130
-111;130
-114;130
-118;130
-122;130
-125;130
-132;130
-136;130
-139;130
-145;130
-152;130
-156;130
-163;130
-166;130
-170;130
-174;130
-170;130
-163;130
-155;130
-148;130
-144;130
-141;130
-137;130
-130;130
-126;130
-123;130
-119;130
-115;130
-111;130
-104;130
-97;130
-93;130
-90;130
-86;130
-86;130
-93;130
-97;130
-100;130
-104;130
-107;130
-111;130
-118;130
-125;130
-129;130
-133;130
-136;130
-140;130
-143;130
-150;130
-154;130
-158;130
-161;130
-168;130
-172;130
-176;130
-183;130
-186;130
-190;130
-193;130
-192;130
-188;130
-181;130
-174;130
-170;130
-166;130
-163;130
-159;130
-155;130
-152;130
-144;130
-137;130
-134;130
-130;130
-126;130
-123;130
-119;130
-115;130
-108;130
-101;130
-97;130
-93;130
-90;130
-86;130
-79;130
-75;130
-72;130
-68;130
-64;130
-61;130
-53;130
-50;130
-42;130
-39;130
-35;130
-28;130
-24;130
-21;130
-17;130
-13;130
-6;130
-2;130
0;130
4;130
8;130
16;130
21;130
26;130
30;130
38;130
38;130
39;130
39;130
41;130
41;130
42;130
42;130
42;130
42;130
44;130
47;130
52;130
54;130
60;130
71;130
78;130
82;130
85;130
93;130
96;130
100;130
101;130
101;130
102;130
102;130
102;130
102;130
102;130
102;130
102;130
102;130
104;130
106;130
107;130
109;130
112;130
112;130
113;130
114;130
115;130
116;130
