date;time;x;y;fx;fy
05/12/2022;10:39:22.690;121;-120;203;0
05/12/2022;10:39:22.737;122;-120;203;0
05/12/2022;10:39:22.799;124;-120;203;0
05/12/2022;10:39:22.877;125;-120;203;0
05/12/2022;10:39:22.924;127;-120;203;0
05/12/2022;10:39:22.987;130;-120;203;0
05/12/2022;10:39:23.049;131;-120;0;0
05/12/2022;10:39:23.112;131;-120;0;0
05/12/2022;10:39:23.174;131;-120;0;0
05/12/2022;10:39:23.237;131;-120;0;0
05/12/2022;10:39:23.315;131;-120;0;0
05/12/2022;10:39:23.362;131;-120;0;0
05/12/2022;10:39:23.424;131;-120;0;0
05/12/2022;10:39:23.487;131;-120;0;0
05/12/2022;10:39:23.549;131;-120;0;0
05/12/2022;10:39:23.612;131;-120;0;0
05/12/2022;10:39:23.674;131;-120;101;0
05/12/2022;10:39:23.753;131;-120;101;0
05/12/2022;10:39:23.800;132;-120;101;0
05/12/2022;10:39:23.862;132;-120;101;0
05/12/2022;10:39:23.925;132;-120;101;0
05/12/2022;10:39:23.987;133;-120;123;0
05/12/2022;10:39:24.050;133;-116;123;345
05/12/2022;10:39:24.112;134;-111;123;345
05/12/2022;10:39:24.175;135;-103;123;345
05/12/2022;10:39:24.237;135;-98;123;345
05/12/2022;10:39:24.300;135;-94;36;345
05/12/2022;10:39:24.362;135;-90;36;377
05/12/2022;10:39:24.425;135;-83;36;377
05/12/2022;10:39:24.487;135;-79;36;377
05/12/2022;10:39:24.550;135;-75;36;377
05/12/2022;10:39:24.612;135;-72;59;377
05/12/2022;10:39:24.675;135;-64;59;594
05/12/2022;10:39:24.737;135;-61;59;594
05/12/2022;10:39:24.800;135;-57;59;594
05/12/2022;10:39:24.862;135;-53;59;594
05/12/2022;10:39:24.925;136;-46;66;611
05/12/2022;10:39:24.987;136;-42;66;611
05/12/2022;10:39:25.050;136;-38;66;611
05/12/2022;10:39:25.112;136;-35;66;611
05/12/2022;10:39:25.175;136;-27;87;611
05/12/2022;10:39:25.237;136;-24;87;643
05/12/2022;10:39:25.300;136;-20;87;643
05/12/2022;10:39:25.362;137;-16;87;643
05/12/2022;10:39:25.425;137;-9;87;643
05/12/2022;10:39:25.487;137;-5;124;643
05/12/2022;10:39:25.550;138;-1;124;644
05/12/2022;10:39:25.612;138;2;124;644
05/12/2022;10:39:25.675;139;5;124;644
05/12/2022;10:39:25.737;139;13;124;644
05/12/2022;10:39:25.800;140;17;124;644
05/12/2022;10:39:25.862;140;21;124;605
05/12/2022;10:39:25.925;141;24;124;605
05/12/2022;10:39:25.987;142;32;124;605
05/12/2022;10:39:26.050;142;36;124;605
05/12/2022;10:39:26.112;142;40;124;605
05/12/2022;10:39:26.175;143;44;124;605
05/12/2022;10:39:26.237;143;51;61;493
05/12/2022;10:39:26.300;143;55;61;493
05/12/2022;10:39:26.362;143;58;61;493
05/12/2022;10:39:26.425;143;62;61;493
05/12/2022;10:39:26.488;143;69;56;487
05/12/2022;10:39:26.550;143;73;56;487
05/12/2022;10:39:26.628;143;77;56;487
05/12/2022;10:39:26.675;144;84;56;487
05/12/2022;10:39:26.737;144;88;56;487
05/12/2022;10:39:26.800;144;92;0;403
05/12/2022;10:39:26.862;144;95;0;403
05/12/2022;10:39:26.925;144;103;0;403
05/12/2022;10:39:26.987;144;106;0;403
05/12/2022;10:39:27.050;144;110;0;403
05/12/2022;10:39:27.112;144;114;0;372
05/12/2022;10:39:27.175;144;121;0;372
05/12/2022;10:39:27.237;144;124;0;372
05/12/2022;10:39:27.300;144;128;0;372
05/12/2022;10:39:27.362;144;130;0;372
05/12/2022;10:39:27.425;144;130;0;147
05/12/2022;10:39:27.487;144;130;0;147
05/12/2022;10:39:27.550;144;130;0;147
05/12/2022;10:39:27.612;144;130;0;147
05/12/2022;10:39:27.675;144;130;0;147
05/12/2022;10:39:27.737;144;130;0;0
05/12/2022;10:39:27.800;144;130;0;0
05/12/2022;10:39:27.862;144;130;0;0
05/12/2022;10:39:27.925;144;130;0;0
05/12/2022;10:39:27.987;144;130;0;0
05/12/2022;10:39:28.050;144;130;0;0
05/12/2022;10:39:28.112;144;130;0;0
05/12/2022;10:39:28.175;144;130;-155;0
05/12/2022;10:39:28.253;143;130;-155;0
05/12/2022;10:39:28.316;141;130;-155;0
05/12/2022;10:39:28.378;139;130;-155;0
05/12/2022;10:39:28.425;138;130;-155;0
05/12/2022;10:39:28.487;137;130;-155;0
05/12/2022;10:39:28.550;133;130;-505;0
05/12/2022;10:39:28.612;129;130;-505;0
05/12/2022;10:39:28.675;122;130;-505;0
05/12/2022;10:39:28.737;118;130;-505;0
05/12/2022;10:39:28.800;114;130;-505;0
05/12/2022;10:39:28.862;110;130;-482;0
05/12/2022;10:39:28.925;106;130;-482;0
05/12/2022;10:39:28.988;99;128;-482;-98
05/12/2022;10:39:29.050;95;128;-482;-98
05/12/2022;10:39:29.113;91;127;-482;-98
05/12/2022;10:39:29.175;89;126;-100;-98
05/12/2022;10:39:29.237;88;124;-100;-256
05/12/2022;10:39:29.300;87;120;-100;-256
05/12/2022;10:39:29.363;87;117;-100;-256
05/12/2022;10:39:29.425;86;114;-100;-256
05/12/2022;10:39:29.487;86;107;0;-256
05/12/2022;10:39:29.550;86;104;0;-238
05/12/2022;10:39:29.613;86;101;0;-238
05/12/2022;10:39:29.675;86;98;0;-238
05/12/2022;10:39:29.737;86;93;-153;-238
05/12/2022;10:39:29.800;84;90;-153;-238
05/12/2022;10:39:29.863;83;87;-153;-317
05/12/2022;10:39:29.925;81;77;-153;-317
05/12/2022;10:39:29.988;80;72;-153;-317
05/12/2022;10:39:30.050;78;68;-508;-317
05/12/2022;10:39:30.113;75;64;-508;-317
05/12/2022;10:39:30.175;67;59;-508;-204
05/12/2022;10:39:30.238;62;56;-508;-204
05/12/2022;10:39:30.300;58;54;-508;-204
05/12/2022;10:39:30.363;53;52;-743;-204
05/12/2022;10:39:30.425;49;50;-743;-204
05/12/2022;10:39:30.488;41;44;-743;-284
05/12/2022;10:39:30.550;37;41;-743;-284
05/12/2022;10:39:30.613;34;37;-743;-284
05/12/2022;10:39:30.675;30;34;-743;-284
05/12/2022;10:39:30.738;23;28;-616;-284
05/12/2022;10:39:30.800;19;24;-616;-245
05/12/2022;10:39:30.863;16;21;-616;-245
05/12/2022;10:39:30.925;12;18;-616;-245
05/12/2022;10:39:30.988;5;11;-616;-245
05/12/2022;10:39:31.066;2;8;-424;-245
05/12/2022;10:39:31.113;-1;5;-424;-187
05/12/2022;10:39:31.175;-4;3;-424;-187
05/12/2022;10:39:31.238;-11;0;-424;-187
05/12/2022;10:39:31.300;-15;-1;-424;-187
05/12/2022;10:39:31.363;-18;-3;-362;-187
05/12/2022;10:39:31.425;-25;-9;-362;-243
05/12/2022;10:39:31.488;-29;-12;-362;-243
05/12/2022;10:39:31.550;-32;-15;-362;-243
